entry,emotion
"When I saw this movie cover, the first thing I thought was that it was made for video. The second thing that came to mind was how similar this looked to another terrible movie ""Darkness Falls"", the tale of this dumb witch who killed people in the dark. Unfortunately, Darkness Falls was quite the masterpiece compared to this pile of garbage, and this movie should not have been made.<br /><br />The film starts off with a small back story for the witch, or, more like a pointless introduction of two little kids who are going to go meet the tooth fairy in hopes of her giving them a shiny new bicycle for their tooth. The opening is filmed poorly, and like the rest of the movie, it's certainly not scary. In present time, the movie is about Peter (Lochlyn Munroe). Peter's renting out his house, and his ex-girlfriend Darcy (Chandra West), and her daughter Cole come to stay there. Cole meets a neighborhood child, and they talk of the Tooth Fairy, and how you shouldn't lose your tooth, or she'll come for you. Unfortunately seconds later, it looks like the Tooth Fairy steals her bike and knocks her tooth out (How ironic). Will Cole survive the wrath of the Tooth Fairy, and will her mother and Peter be able to save her, and rekindle their romance...this is a bad movie, you could probably figure it out.<br /><br />One of the main problems with this idiotic film is how undefined the",A
"Although I use this site quite frequently to see how other people rated what I think are challenging or just plain enjoyable films, after watching this ""movie"" on Film Four last night I felt compelled to write something down, even if it just helps cleanse me once again.<br /><br />The film was possibly the shallowest experience I've ever had - the main characters played by Danny Dyer (23? You sure?) and Gillian Anderson (who will always be Scully as Leonard Nimoy will always be Spock) had no real substance about them - I'm not sure if the first half-hour of the film didn't make the final cut but surely in a revenge movie you would like some empathy with the victims... here I couldn't care less. In fact, the only character I did seem to care about was the dog, with the stag coming a close second. And both animals out-acted Dire (sic) and Scully, who were quite frankly terrible. I guess though you're only as good as the script you are given, and I'd like to warmly thank the writers, the producers, the director and all of the cast for wasting 90 minutes of my life and some perfectly good electricity.",A
"It is a pity that you cannot vote zero stars on IMDb, because I would not have hesitated! In fact I would go so far as to say that this film was in the negative stars. <br /><br />I, like many others, bought this film thinking that because it has Michael Madsen in it, it could be good... No chance! This film was shocking! Imagine a movie length 'The Bold and the Beautiful', well, Primal Instinct did not even come close to that good, and I had previously thought that there would be nothing worse than a movie length 'The Bold and the Beautiful'. <br /><br />Michael Madsen, how could you do this to us? The worst part is, I didn't fast forward a bit, I was hoping that at the end they would reveal that it was all some sort of sick joke, that they thought it would be funny to make us watch such a horribly bad film.<br /><br />Where do I start...? Directing - Zero Stars, Screenplay - Zero Stars, Acting - Zero Stars, Cinematography - Zero Stars, Digital Effects - Zero Stars, Production Design - Zero Stars, Make-up - Zero Stars, Casting - Zero Stars, Editing - Zero Stars, Trailer - Half a Star, Graphic Design - Half a Star, DVD Menu - Half a Star.<br /><br />However I think that it is very important to have seen bad films just so that you know what a really bad film is, so for that reason I",A
"Without question, the worst ELVIS film ever made. The movie portrays all Indians as drunk, stupid, and lazy. Watch ELVIS's skin change color throughout the film.",A
"My, how the mighty have fallen. Kim Basinger is a great actress but she was definitely slumming when she took this role. This movie is bad for one reason in particular: lapses in logic. Its looks like one of those movies that would have been passable with all its plot holes if it had came out in the 80s and 90s but in 2008 it just looks real stupid. This is the worst thriller I've ever seen and I've seen The Bone Collector and Twisted.<br /><br />The story details Della(Kim Basinger)is just getting from buying gifts in a mall an is harassed by a gang of thugs that end up killing a cop that came to her aid. From then on she is chased by these idiotic goons through an abandoned street and she gets rid of them one by one with a toolbox full of tools.<br /><br />So many things are wrong with this movie. As I said this movie leaps over logic at every turn and with the exception of Kim Basinger, the acting is made-for-TV bad. Hell, this pseudo thriller is made-for-TV bad. The way she kills each of these politically correct thugs(1 Caucasian, 1 Hispanic, 1 Asian and 1 African American all coming together to stalk a Caucasian woman. Don't you just love America?)is laughable to a fault. The way she killed the Hispanic guy made me laugh hysterically. The sex scene with the main hoodlum was so out in left field that it make you",A
"I found it very very difficulty to watch this after the initial 5 minutes of the film. I managed to stomach 45-50 minutes before switching it off in disgust and watching Monster House instead (which, by the way, is great fun).<br /><br />The story has massive holes in it. The plot line is hugely over stated and dull, the acting is awful, especially from Justin TImberlake who should really stick to what he is good at (looking daft and singing like a castrato). Morgan Freeman looked incredibly uncomfortable, especially when made to dance around to rock music for no apparent reason half way through the film after him and Timberlake meet. Freeman and Timberlake's characters seem to be supposed to have some sort of father/son relationship of sorts or something, which simply isn't evident at all apart from the fact that; though Freeman's character seems to have nothing but contempt for the ignorant and rather stupid character of Timberlake, he never the less pulls out all the stops to help him uncover a completely ridiculous cover up.<br /><br />It would take some incredible suspension of disbelief to give any credit to the story line, which is simply absurd and blown out of all proportion.<br /><br />Don't watch this film, it is a pure waste of time.",A
"This is it. This is the one. This is the worst movie ever made. Ever. It beats everything. I have never seen worse. Retire the trophy and give it to these people.....there's just no comparison.<br /><br />Even three days after watching this (for some reason I still don't know why) I cannot believe how insanely horrific this movie is/was. Its so bad. So far from anything that could be considered a movie, a story or anything that should have ever been created and brought into our existence.<br /><br />This made me question whether or not humans are truly put on this earth to do good. It made me feel disgusted with ourselves and our progress as a species in this universe. This type of movie sincerely hurts us as a society. We should be ashamed. I really cannot emphasize that our global responsibility as people living here and creating art, is that we need to prevent the creation of these gross distortions of our reality for our own good. It's an embarrassment. I don't know how on earth any of these actors, writers, or the director of this film sleeps at night knowing that they had a role in making ""Loaded"". I don't know what type of disgusting monsters enjoy watching these types of movies.<br /><br />That being said, I love a good ""bad"" movie. I love Shark Attack 3, I love Bad Taste, they are HILARIOUS. I tell all my friends to see them because they are ""bad"".<br /><br",A
"I really don't get how people made this film and thought it was worth all the work they put into it. Even more puzzling are those who watched this film without feeling cheated out of 88 minutes of doing something valuable like cleaning under the couch or reading Leviticus. <br /><br />First of all, surely they could have 2 found real Irish people, and some good-looking women who could deliver their lines better than the washed up, haggard porn stars sprinkled throughout this film. Granted, the gore works- but strangely, it's not as troubling as you might think to see organs yanked out of the porn stars' hot (formerly) tight bodies left and right. Probably has something to do with the fact that after their horrific inhuman acting you just want them to die in pain.<br /><br />So, if you don't care at all about the following: <br /><br />- acting (seriously, everyone sucked. I've never witnessed this before. EVERYONE sucked).<br /><br />-plot (some crappy horror movies are remotely linear, or at the very least surprising. This movie doesn't make sense unless you're as trashed as the writers obviously were). <br /><br />- theme (Nothing to learn from this film. Nothing to be scared about in bed at night, nothing to contemplate or grasp, or explain to others). <br /><br />- soundtrack (Crap, crap, crap. Music as ordinary and dull as the script). <br /><br />- scenery (Could have been this film's saving grace, but no...nothing pleasing here. Even the",A
"in fact,it's basically the same movie.and they couldn't even get the time line of events correct.maybe that was intentional due to laziness or not caring.either way,this thing is a real woofer.it doesn't even deserved to be called a movie.i viewed this as a so called second feature on the disc containing the original The Boogeyman.i thought my head would explode,and i urge you to run as far in the opposite direction of this thing,if you should be cursed with the misfortune of combing across it's path.it should come with a warning label like:Warning-may cause your i.q to drop several points if you are within it's vicinity.for me,there's no doubt this thing is a 0/10",A
"It's hard to believe an ""action"" packed Jet Li movie could be so boring, but this was transcendant trash. The plot is an amalgam of other Hong Kong chopsocky flicks. The martial arts action is all special effects and no human talent. <br /><br />It's a comic book story about a group of super-human soldiers who are to be killed because they're mentally unstable, one of their number (Li) who holds off an incompetent army to save them and rebuilds a life as a pacifist librarian. The saved killers resurface with an Austin Powers quality plot to take over the world, and Li sheds his new life to save the world.<br /><br />The version I saw was dubbed, and that may have accentuated the cheesiness of the wafer-thin plot and comic-book 25 cent special effects. But I suspect even Ninja-Turtle-watching 8-year olds would have found this juvenile and hollow.",A
"Oh, brother. The only reason this very irritating film avoids getting the total ""bomb"" from me is because it's at least historically noteworthy as the first Three Stooges film (when they weren't yet on their own and were still saddled with that painfully unfunny Ted Healy). But even as a longtime Stooges fan I'd have to say that young Moe, Larry and Curly are badly used here as three zany assistant janitors to Mr. Healy's taller boss janitor. They're not featured steadily through the movie and their silly on-and-off-again stints paint them more like zany overactive cartoon characters trying too hard to be amusing.<br /><br />Most of this toothache deals with Jack Pearl seeking in vain to get some chuckles from the audience himself as a man who impersonates Baron Munchausen (here's a good example of the level of humor: ""I object!"" ""On what grounds?"" ""Coffee grounds!""). His sidekick is none other than a young Jimmy Durante, but even the schnoz himself is a bore.",A
"This is definitely a stupid, bad-taste movie. Eddie Murphy stars in what is written like a sitcom. He is surrounded with his perfect family, full of good family values. If you're looking for politically correct entertainment, this movie is for you. But if you hate the idea of being the only one not to laugh at obscene gags in a movie-theater full of pop-corn addicts, just flee.",A
